ID,organisation,records_lost,date,year,month,sector,sector_1,sector_2,method,data_sensitivity,data_sensitivity_text,source_name
390,Thailand visitors,100000000,Sep 2021,2021,September,government,government,No other sector,poor security,2,SSN/Personal details,South China Morning Post
389,T-Mobile ,76000000,Aug 2021,2021,August,telecoms,telecoms,No other sector,hacked,3,Credit card information,Krebson Security
388,Contact tracing data,38000000,Aug 2021,2021,August,telecoms,telecoms,No other sector,hacked,3,Credit card information,Wired
387,Estonian gov,280000,Jul 2021,2021,July,government,government,No other sector,hacked,4,Health & other personal records,News ERR
386,Guntrader,111000,Jul 2021,2021,July,retail,retail,No other sector,hacked,2,SSN/Personal details,The Register
385,Linkedin,700000000,Jul 2021,2021,July,web,web,No other sector,hacked,1,Just email address/Online information,9 to 5 mac
384,VW,3300000,Jun 2021,2021,June,transport,transport,No other sector,hacked,2,SSN/Personal details,Reuters
383,MacDonalds,10000000,Jun 2021,2021,June,retail,retail,No other sector,hacked,2,SSN/Personal details,Wall St Journal
382,Air India,4500000,May 2021,2021,May,transport,transport,No other sector,hacked,2,SSN/Personal details,Indian Express
381,Omiai dating app,1710000,May 2021,2021,May,app,app,No other sector,hacked,2,SSN/Personal details,Japan Times
380,Amazon Reviews,13124962,May 2021,2021,May,web,web,No other sector,poor security,2,SSN/Personal details,Safety Detectives
379,Peloton,3000000,May 2021,2021,May,tech,tech,No other sector,poor security,2,SSN/Personal details,Ars Technica
378,Digital Ocean,10000000,Apr 2021,2021,April,tech,tech,No other sector,poor security,0,Unknown,Tech Crunch
377,Park Mobile,21000000,Apr 2021,2021,April,transport,transport,No other sector,hacked,2,SSN/Personal details,Krebson Security
376,Ubiquiti,16000000,Feb 2021,2021,February,tech,tech,No other sector,hacked,2,SSN/Personal details,ZDNet
375,Meet Mindful,2240000,Feb 2021,2021,February,tech,tech,No other sector,hacked,4,Health & other personal records,ZDnet
374,Experian Brazil,220000000,Feb 2021,2021,February,finance,finance,No other sector,hacked,2,SSN/Personal details,ZDNet
373,Gab,4000000, Mar 2021,2021,March,tech,tech,No other sector,hacked,3,Credit card information,Wired
372,Star Alliance,16000000, Mar 2021,2021,March,transport,transport,No other sector,hacked,1,Just email address/Online information,The Guardian
371,Facebook,533000000, Mar 2021,2021,March,tech,tech,No other sector,hacked,1,Just email address/Online information,Business Insider
370,Ledger,270000, Dec 2020,2020,December,finance,finance,No other sector,hacked,2,SSN/Personal details,Bleeping Computer
369,T-mobile,200000, Dec 2020,2020,December,telecoms,telecoms,No other sector,hacked,1,Just email address/Online information,Bleeping Computer
368,The Hospital Group,1000000, Dec 2020,2020,December,health,health,No other sector,hacked,4,Health & other personal records,BBC
367,SolarWinds,50000000, Dec 2020,2020,December,app,app,No other sector,hacked,3,Credit card information,New York Times
366,Ho Mobile,2500000, Dec 2020,2020,December,telecoms,telecoms,No other sector,hacked,2,SSN/Personal details,ZD Net
365,Spotify,500000, Dec 2020,2020,December,app,app,No other sector,oops!,1,Just email address/Online information,Tech Crunch
364,Drizly,2400000, Sep 2020,2020,September,app,app,No other sector,hacked,2,SSN/Personal details,Tech Crunch
363,GEDmatch,1400000, Sep 2020,2020,September,"misc, health",misc, health,hacked,5,Full details,New York Times
362,Call of Duty / Activision,500000, Sep 2020,2020,September,gaming,gaming,No other sector,hacked,1,Just email address/Online information,Forbes
361,Zhenhua,2400000, Sep 2020,2020,September,misc,misc,No other sector,oops!,1,Just email address/Online information,The Guardian
360,Cense AI,2500000, Aug 2020,2020,August,"tech, health",tech, health,poor security,4,Health & other personal records,PC Mag
359,Nintendo,300000, Apr 2020,2020,April,gaming,gaming,No other sector,hacked,3,Credit card information,Tech Crunch
358,Pakistani mobile operators,115000000, Apr 2020,2020,April,telecoms,telecoms,No other sector,hacked,2,SSN/Personal details,ZDNet
357,US Marshals Service,387000, May 2020,2020,May,government,government,No other sector,hacked,2,SSN/Personal details,NextGov
356,db8151dd,22000000, May 2020,2020,May,web,web,No other sector,hacked,2,SSN/Personal details,9 to 5 Mac
355,EasyJet,9000000, May 2020,2020,May,transport,transport,No other sector,hacked,3,Credit card information,BBC
354,Microsoft,250000000, Jan 2020,2020,January,web,web,No other sector,poor security,1,Just email address/Online information,Forbes
353,Dutch Government,6900000, Mar 2020,2020,March,government,government,No other sector,lost device,4,Health & other personal records,ZDNet
352,Virgin Media,900000, Mar 2020,2020,March,retail,retail,No other sector,poor security,1,Just email address/Online information,BBC 
351,Boots Advantage Card,150000, Mar 2020,2020,March,retail,retail,No other sector,hacked,1,Just email address/Online information,Which
350,Tesco Clubcard,600000, Mar 2020,2020,March,retail,retail,No other sector,hacked,1,Just email address/Online information,Tech Radar
349,Marriott Hotels,5200000, Mar 2020,2020,March,retail,retail,No other sector,inside job,2,SSN/Personal details,Marriott
348,Zoom,500000, Apr 2020,2020,April,app,app,No other sector,hacked,1,Just email address/Online information,We Live Security
347,Israeli government,6500000, Feb 2020,2020,February,government,government,No other sector,poor security,2,SSN/Personal details,NYTimes
346,MGM Hotels,10600000, Feb 2020,2020,February,retail,retail,No other sector,hacked,2,SSN/Personal details,ZDNet
345,Buchbinder Car Rentals,5000000, Jan 2020,2020,January,transport,transport,No other sector,poor security,2,SSN/Personal details,Teller Report
344,Wawa,30000000, Dec 2019,2019,December,retail,retail,No other sector,hacked,3,Credit card information,Krebs on Security
343,Desjardins Group,4200000, Jun 2019,2019,June,finance,finance,No other sector,inside job,2,SSN/Personal details,CBC
342,US Customs and Border Protection,100000, Jun 2019,2019,June,government,government,No other sector,hacked,2,SSN/Personal details,Washington Post
341,Quest Diagnostics,20000000, Jun 2019,2019,June,health,health,No other sector,poor security,4,Health & other personal records,ZDNet
340,Australian National University,200000, Jun 2019,2019,June,academic,academic,No other sector,hacked,4,Health & other personal records,Guardian
339,Canva,139000000, May 2019,2019,May,web,web,No other sector,hacked,2,SSN/Personal details,ZDNet
337,Chtrbox,49000000, May 2019,2019,May,misc,misc,No other sector,poor security,1,Just email address/Online information,Techcrunch
336,WiFi Finder,2000000, Apr 2019,2019,April,app,app,No other sector,poor security,1,Just email address/Online information,Techcrunch
335,Toyota,3100000, Apr 2019,2019,April,transport,transport,No other sector,hacked,2,SSN/Personal details,Bleeping Computer
334,Unknown,1800000, Mar 2019,2019,March,web,web,No other sector,poor security,4,Health & other personal records,The Guardian
333,Vårdguiden,2700000, Feb 2019,2019,February,health,health,No other sector,poor security,5,Full details,ComputerSweden
332,Dubsmash,162000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
331,ShareThis,41000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
330,HauteLook,28000000, Feb 2019,2019,February,retail,retail,No other sector,hacked,1,Just email address/Online information,The Register
329,Animoto,25000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
328,EyeEm,22000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
327,8fit,20000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
326,Whitepages,18000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
325,Fotolog,16000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
324,Armor Games,11000000, Feb 2019,2019,February,gaming,gaming,No other sector,hacked,1,Just email address/Online information,The Register
323,BookMate,8000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
322,CoffeeMeetsBagel,6000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
321,Artsy,1000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
320,DataCamp,700000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,The Register
319,Ixigo,18000000, Feb 2019,2019,February,transport,transport,No other sector,poor security,1,Just email address/Online information,Techcrunch
318,YouNow,40000000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,Techcrunch
317,Houzz,57000000, Feb 2019,2019,February,retail,retail,No other sector,hacked,2,SSN/Personal details,Techcrunch
316,Ge.tt,1800000, Feb 2019,2019,February,web,web,No other sector,hacked,1,Just email address/Online information,Techcrunch
315,Coinmama,450000, Feb 2019,2019,February,finance,finance,No other sector,hacked,1,Just email address/Online information,Techcrunch
314,Roll20,4000000, Feb 2019,2019,February,gaming,gaming,No other sector,hacked,1,Just email address/Online information,Techcrunch
313,Stronghold Kingdoms,5000000, Feb 2019,2019,February,gaming,gaming,No other sector,hacked,1,Just email address/Online information,Techcrunch
312,Petflow,1000000, Feb 2019,2019,February,retail,retail,No other sector,poor security,1,Just email address/Online information,Techcrunch
311,500px,14800000, Feb 2019,2019,February,web,web,No other sector,hacked,2,SSN/Personal details,PetaPixel
310,Blur,2400000, Jan 2019,2019,January,tech,tech,No other sector,oops!,1,Just email address/Online information,ZDNet
309,Blank Media Games,7600000, Jan 2019,2019,January,gaming,gaming,No other sector,hacked,1,Just email address/Online information,ZDNet
308,Indian citizens,275265298, May 2019,2019,May,web,web,No other sector,poor security,2,SSN/Personal details,Bleeping Computer
307,Bulgarian National Revenue Agency,5000000, Jul 2019,2019,July,government,government,No other sector,hacked,2,SSN/Personal details,ZDNet
306,Capital One,100000000, Jul 2019,2019,July,finance,finance,No other sector,hacked,3,Credit card information,Forbes
305,Suprema,27800000, Aug 2019,2019,August,tech,tech,No other sector,poor security,5,Full details,Guardian
304,Facebook,419000000, Sep 2019,2019,September,web,web,No other sector,poor security,2,SSN/Personal details,Fast Company
303,DoorDash,4900000, Sep 2019,2019,September,transport,transport,No other sector,hacked,2,SSN/Personal details,Techcrunch
302,BriansClub,26000000, Oct 2019,2019,October,web,web,No other sector,hacked,3,Credit card information,Ars Technica
300,OxyData,380000000, Nov 2019,2019,November,tech,tech,No other sector,poor security,2,SSN/Personal details,Dataviper
299,Click2Gov,300000, Dec 2018,2018,December,finance,finance,No other sector,hacked,3,Credit card information,Fortune
298,SingHealth,1500000, Jul 2018,2018,July,health,health,No other sector,hacked,4,Health & other personal records,Straits Times
297,GovPayNow.com,14000000, Sep 2018,2018,September,finance,finance,No other sector,poor security,2,SSN/Personal details,Krebs on Security
296,Cathay Pacific Airways,94000000, Oct 2018,2018,October,transport,transport,No other sector,hacked,3,Credit card information,ABC News
295,Chinese resume leak,202000000, Dec 2018,2018,December,web,web,No other sector,poor security,2,SSN/Personal details,HackenProof
294,Google+,52500000, Dec 2018,2018,December,web,web,No other sector,poor security,2,SSN/Personal details,The Verge
293,Quora,100000000, Dec 2018,2018,December,web,web,No other sector,hacked,1,Just email address/Online information,NY Times
292,Marriott International,383000000, Nov 2018,2018,November,retail,retail,No other sector,hacked,3,Credit card information,"NY Times, CNET"
291,NMBS,700000, Dec 2018,2018,December,transport,transport,No other sector,oops!,2,SSN/Personal details,Flanders Today
290,Facebook,50000000, Mar 2018,2018,March,web,web,No other sector,hacked,1,Just email address/Online information,Guardian
289,Panerabread,37000000, Apr 2018,2018,April,retail,retail,No other sector,poor security,2,SSN/Personal details,"Krebsonsecurity, Medium"
288,Dixons Carphone,10000000, Jun 2018,2018,June,telecoms,telecoms,No other sector,hacked,1,Just email address/Online information,BBC
287,MyHeritage,92283889, Jun 2018,2018,June,web,web,No other sector,hacked,1,Just email address/Online information,Bloomberg
286,Saks and Lord & Taylor,5000000, Apr 2018,2018,April,retail,retail,No other sector,hacked,3,Credit card information,NYTimes
285,Careem,14000000, Apr 2018,2018,April,app,app,No other sector,hacked,2,SSN/Personal details,Khaleej Times
284,Texas voter records,14800000, Aug 2018,2018,August,web,web,No other sector,poor security,2,SSN/Personal details,TechCrunch
283,British Airways,380000, Sep 2018,2018,September,transport,transport,No other sector,hacked,4,Health & other personal records,Guardian
282,T-Mobile,2000000, Aug 2018,2018,August,telecoms,telecoms,No other sector,hacked,1,Just email address/Online information,Motherboard
281,MyFitnessPal,150000000, Mar 2018,2018,March,app,app,No other sector,hacked,1,Just email address/Online information,Guardian
280,Helse Sør-Øst RHF,3000000, Feb 2018,2018,February,health,health,No other sector,hacked,4,Health & other personal records,It Governance
279,Nametests,120000000, Jun 2018,2018,June,app,app,No other sector,poor security,1,Just email address/Online information,Medium
278,Ticketmaster,40000, Jun 2018,2018,June,web,web,No other sector,hacked,3,Credit card information,BBC News
277,Firebase,100000000, Jun 2018,2018,June,app,app,No other sector,poor security,5,Full details,Bleeping Computer
276,Aadhaar,550000000, Mar 2018,2018,March,government,government,No other sector,poor security,4,Health & other personal records,ZDNet
275,Grindr,3000000, Mar 2018,2018,March,app,app,No other sector,poor security,3,Credit card information,NBC News
274,Orbitz,880000, Mar 2018,2018,March,web,web,No other sector,hacked,3,Credit card information,US News
273,MBM Company,1300000, Mar 2018,2018,March,retail,retail,No other sector,poor security,4,Health & other personal records,NextWeb
272,LocalBlox,48000000, May 2018,2018,May,web,web,No other sector,poor security,2,SSN/Personal details,UpGuard
271,Twitter,330000000, May 2018,2018,May,tech,tech,No other sector,poor security,1,Just email address/Online information,Reuters
270,ViewFines,934000, May 2018,2018,May,transport,transport,No other sector,oops!,4,Health & other personal records,iAfrikan
269,TicketFly,27000000, May 2018,2018,May,web,web,No other sector,hacked,2,SSN/Personal details,The Verge
268,Amazon,5000000, Nov 2018,2018,November,retail,retail,No other sector,oops!,1,Just email address/Online information,Guardian
267,Urban Massage,309000, Nov 2018,2018,November,app,app,No other sector,poor security,2,SSN/Personal details,Tech Crunch
266,Dell ,100000, Nov 2018,2018,November,tech,tech,No other sector,hacked,1,Just email address/Online information,ZD Net
265,High Tail Hall,411000, Nov 2018,2018,November,web,web,No other sector,hacked,2,SSN/Personal details,Daily Mail
264,SKY Brasil,32000000, Nov 2018,2018,November,telecoms,telecoms,No other sector,poor security,1,Just email address/Online information,Bleeping Computer
263,Vision Direct,16300, Nov 2018,2018,November,retail,retail,No other sector,hacked,4,Health & other personal records,BBC
262,Medicare & Medicaid,93689, Nov 2018,2018,November,health,health,No other sector,hacked,2,SSN/Personal details,HCA News
261,Facebook,29000000, Oct 2018,2018,October,web,web,No other sector,hacked,2,SSN/Personal details,"Business Insider, Facebook"
260,Newegg,45000000, Sep 2018,2018,September,retail,retail,No other sector,hacked,3,Credit card information,TechCrunch
259,Mount Olympus,1100, Mar 2016,2016,March,finance,finance,No other sector,inside job,5,Full details,Housing Wire
258,Apollo,200000000, May 2018,2018,May,tech,tech,No other sector,poor security,1,Just email address/Online information,Wired
257,Disqus,17500000, Dec 2017,2017,December,web,web,No other sector,hacked,4,Health & other personal records,ZD Net
256,RootsWeb,300000, Dec 2017,2017,December,web,web,No other sector,poor security,4,Health & other personal records,Threat Post
255,Yahoo,32000000, Mar 2017,2017,March,web,web,No other sector,hacked,4,Health & other personal records,CNet
254,Uber,57000000, Nov 2017,2017,November,app,app,No other sector,hacked,1,Just email address/Online information,Bloomberg
253,Wonga,270000, Apr 2017,2017,April,finance,finance,No other sector,hacked,4,Health & other personal records,The Guardian
252,Snapchat,1700000, Apr 2017,2017,April,app,app,No other sector,hacked,1,Just email address/Online information,BGR
251,Spambot,520000000, Aug 2017,2017,August,web,web,No other sector,poor security,4,Health & other personal records,The Guardian
250,CEX,2000000, Aug 2017,2017,August,retail,retail,No other sector,oops!,3,Credit card information,PC Mag
249,Al.type,31000000, Dec 2017,2017,December,app,app,No other sector,poor security,4,Health & other personal records,ZDNet
248,Cellebrite,3000000, Jan 2017,2017,January,tech,tech,No other sector,hacked,2,SSN/Personal details,Vice
247,Waterly,1000000, Jan 2017,2017,January,app,app,No other sector,poor security,3,Credit card information,Data Breaches
246,Swedish Transport Agency,3000000, Jul 2017,2017,July,government,government,No other sector,poor security,5,Full details,The Local
245,Hong Kong Registration & Electoral Office,3700000, Mar 2017,2017,March,government,government,No other sector,lost device,2,SSN/Personal details,SCMP
244,River City Media,340000000, Mar 2017,2017,March,web,web,No other sector,oops!,2,SSN/Personal details,Guardian
243,DaFont,700000, May 2017,2017,May,web,web,No other sector,hacked,4,Health & other personal records,ZD Net
242,Bell,1900000, May 2017,2017,May,telecoms,telecoms,No other sector,hacked,1,Just email address/Online information,CBC
241,Zomato,17000000, May 2017,2017,May,web,web,No other sector,hacked,4,Health & other personal records,HackRead
240,Imgur,1700000, May 2017,2017,May,app,app,No other sector,hacked,4,Health & other personal records,Imgur
239,TIO Networks,1600000, Dec 2017,2017,December,finance,finance,No other sector,hacked,4,Health & other personal records,Bleeping Computer
238,Malaysian telcos & MVNOs,46200000, Oct 2017,2017,October,telecoms,telecoms,No other sector,hacked,4,Health & other personal records,LowYat
237,Malaysian medical practitioners,81309, Oct 2017,2017,October,health,health,No other sector,hacked,4,Health & other personal records,Silicon
236,Instagram,6000000, Sep 2017,2017,September,web,web,No other sector,hacked,1,Just email address/Online information,The Verge
235,Viacom,3000000, Sep 2017,2017,September,web,web,No other sector,hacked,4,Health & other personal records,The Hacker News
234,Equifax,143000000, Sep 2017,2017,September,finance,finance,No other sector,hacked,4,Health & other personal records,UK Gov
233,SVR Tracking,540000, Sep 2017,2017,September,app,app,No other sector,poor security,4,Health & other personal records,The Hacker News
232,LinkedIn,117000000, May 2016,2016,May,web,web,No other sector,hacked,1,Just email address/Online information,CNN
231,Tumblr,65000000, May 2016,2016,May,web,web,No other sector,hacked,1,Just email address/Online information,Vice
230,Yahoo,500000000, Sep 2016,2016,September,web,web,No other sector,hacked,2,SSN/Personal details,CNBC
229,Mossack Fonseca,11500000, Apr 2016,2016,April,misc,misc,No other sector,hacked,5,Full details,PanamaPapers
228,Philippines’ Commission on Elections,55000000, Apr 2016,2016,April,government,government,No other sector,hacked,5,Full details,Trend Micro
227,Syrian government,274477, Apr 2016,2016,April,government,government,No other sector,hacked,1,Just email address/Online information,Softpedia
226,Minecraft,7000000, Apr 2016,2016,April,gaming,gaming,No other sector,hacked,1,Just email address/Online information,BBC
225,Turkish citizenship database,49611709, Apr 2016,2016,April,government,government,No other sector,hacked,2,SSN/Personal details,Business Insider
224,Banner Health,3700000, Aug 2016,2016,August,health,health,No other sector,hacked,3,Credit card information,Healthcare Informatics
223,Mail. ru,25000000, Aug 2016,2016,August,web,web,No other sector,hacked,2,SSN/Personal details,ZD Net
222,PayAsUGym,300000, Dec 2016,2016,December,web,web,No other sector,hacked,1,Just email address/Online information,BBC News
221,Lynda.com,9500000, Dec 2016,2016,December,web,web,No other sector,hacked,1,Just email address/Online information,Neowin
220,Linux Ubuntu forums,2000000, Jul 2016,2016,July,web,web,No other sector,hacked,1,Just email address/Online information,ZDnet
219,Wendy's,1025, Jul 2016,2016,July,retail,retail,No other sector,hacked,3,Credit card information,Forbes
218,Clinton campaign,5000000, Jul 2016,2016,July,government,government,No other sector,hacked,2,SSN/Personal details,Reuters
217,uTorrent ,35000, Jun 2016,2016,June,web,web,No other sector,hacked,1,Just email address/Online information,Torrent Freak
216,World Check,2200000, Jun 2016,2016,June,misc,misc,No other sector,poor security,3,Credit card information,The Stack
215,Mutuelle Generale de la Police,112000, Jun 2016,2016,June,health,health,No other sector,inside job,5,Full details,BBC News
214,VK,171000000, Jun 2016,2016,June,web,web,No other sector,hacked,4,Health & other personal records,Motherboard
213,KM.ru & Nival,1500000, Mar 2016,2016,March,web,web,No other sector,hacked,4,Health & other personal records,Motherboard
212,Fling,40000000, May 2016,2016,May,web,web,No other sector,hacked,4,Health & other personal records,IBTimes
211,MySpace,164000000, May 2016,2016,May,web,web,No other sector,hacked,1,Just email address/Online information,Vice
210,Three,130000, Nov 2016,2016,November,telecoms,telecoms,No other sector,hacked,2,SSN/Personal details,Three
209,Red Cross Blood Service,550000, Oct 2016,2016,October,health,health,No other sector,oops!,4,Health & other personal records,ABC News
208,Telegram ,15000000, Aug 2016,2016,August,app,app,No other sector,hacked,1,Just email address/Online information,Venture Beat
207,Dailymotion,85200000, Dec 2016,2016,December,web,web,No other sector,hacked,1,Just email address/Online information,ZDNet
206,Weebly,43000000, Oct 2016,2016,October,web,web,No other sector,hacked,4,Health & other personal records,Tech Crunch
205,Interpark,10000000, Jul 2016,2016,July,web,web,No other sector,hacked,2,SSN/Personal details,NY times
204,Quest Diagnostics,34000, Dec 2016,2016,December,health,health,No other sector,hacked,4,Health & other personal records,Newsroom
203,Friend Finder Network,412000000, Nov 2016,2016,November,web,web,No other sector,hacked,1,Just email address/Online information,ZDNet
202,Brazzers,790724, Sep 2016,2016,September,web,web,No other sector,hacked,4,Health & other personal records,Vice
201,ClixSense,6600000, Sep 2016,2016,September,web,web,No other sector,hacked,5,Full details,Digital trends
200,Carefirst,1100000, May 2015,2015,May,health,health,No other sector,hacked,1,Just email address/Online information,Krebs on Security
199,Twitch,10000000, Mar 2015,2015,March,health,health,No other sector,hacked,1,Just email address/Online information,Twitch
198,Premera,11000000, Mar 2015,2015,March,health,health,No other sector,hacked,5,Full details,Computer Weekly
197,Uber,50000, Feb 2015,2015,February,"tech, app",tech, app,poor security,1,Just email address/Online information,TechCrunch
196,Deep Root Analytics,198000000, Dec 2015,2015,December,web,web,No other sector,poor security,2,SSN/Personal details,"Reuters, UpGuard"
195,Kromtech,13000000, Dec 2015,2015,December,web,web,No other sector,hacked,1,Just email address/Online information,BBC
194,Invest Bank,40000, Dec 2015,2015,December,finance,finance,No other sector,hacked,4,Health & other personal records,Daily Dot 
193,Sanrio,3300000, Dec 2015,2015,December,web,web,No other sector,poor security,2,SSN/Personal details,CSO Online
192,VTech,6400000, Dec 2015,2015,December,web,web,No other sector,hacked,5,Full details,The Guardian
191,Hacking Team,500000, Jul 2015,2015,July,web,web,No other sector,hacked,5,Full details,The Guardian
190,AshleyMadison.com,37000000, Jul 2015,2015,July,web,web,No other sector,hacked,1,Just email address/Online information,Krebs on Security
189,US Office of Personnel Management (2nd Breach),21500000, Jul 2015,2015,July,government,government,No other sector,hacked,5,Full details,BBC News
188,US Office of Personnel Management,4000000, Jun 2015,2015,June,government,government,No other sector,hacked,2,SSN/Personal details,Washington Post
187,Australian Immigration Department,30, Mar 2015,2015,March,government,government,No other sector,oops!,4,Health & other personal records,The Guardian
186,IRS,100000, May 2015,2015,May,government,government,No other sector,hacked,1,Just email address/Online information,CNN
185,MSpy,400000, May 2015,2015,May,app,app,No other sector,hacked,2,SSN/Personal details,Krebs on Security
184,Adult Friend Finder,3900000, May 2015,2015,May,web,web,No other sector,hacked,1,Just email address/Online information,Channel 4
183,Securus Technologies,70000000, Nov 2015,2015,November,web,web,No other sector,hacked,5,Full details,The Intercept
182,TalkTalk,157000, Nov 2015,2015,November,telecoms,telecoms,No other sector,hacked,2,SSN/Personal details,BBC News
181,Experian / T-mobile,15000000, Oct 2015,2015,October,telecoms,telecoms,No other sector,hacked,3,Credit card information,Reuters
180,Slack,500000, Mar 2015,2015,March,app,app,No other sector,hacked,1,Just email address/Online information,Tech Crunch
179,CarPhone Warehouse,2400000, Aug 2015,2015,August,telecoms,telecoms,No other sector,hacked,3,Credit card information,The Guardian
178,British Airways,10000, Mar 2015,2015,March,transport,transport,No other sector,hacked,1,Just email address/Online information,The Guardian
177,Anthem ,80000000, Feb 2015,2015,February,health,health,No other sector,hacked,2,SSN/Personal details,NYTimes
176,UCLA Health,4500000, May 2015,2015,May,health,health,No other sector,hacked,4,Health & other personal records,Health IT Security
175,Neiman Marcus,1100000, Jan 2014,2014,January,retail,retail,No other sector,hacked,2,SSN/Personal details,NY Times
174,AOL,2400000, Apr 2014,2014,April,web,web,No other sector,hacked,1,Just email address/Online information,NBC News
173,Community Health Systems,4500000, Aug 2014,2014,August,health,health,No other sector,hacked,2,SSN/Personal details,CNN
172,Privatization Agency of the Republic of Serbia,5190396, Dec 2014,2014,December,government,government,No other sector,oops!,2,SSN/Personal details,Poverenik
171,Sony Pictures,10000000, Dec 2014,2014,December,misc,misc,No other sector,hacked,2,SSN/Personal details,Buzzfeed
170,Indiana University,146000, Feb 2014,2014,February,academic,academic,No other sector,poor security,2,SSN/Personal details,Indiana University
169,Ebay,145000000, May 2014,2014,May,web,web,No other sector,hacked,1,Just email address/Online information,Business Insider
168,UPS,4000000, Aug 2014,2014,August,retail,retail,No other sector,hacked,3,Credit card information,Time
167,European Central Bank,4000000, Jul 2014,2014,July,finance,finance,No other sector,hacked,1,Just email address/Online information,City am
166,JP Morgan Chase,76000000, Oct 2014,2014,October,finance,finance,No other sector,hacked,3,Credit card information,Deal Book
